HCPCS_Cd,HCPCS_Desc,Brnd_Name,Gnrc_Name,Tot_Spndng_2019,Tot_Dsg_Unts_2019,Tot_Clms_2019,Tot_Benes_2019,Avg_Spndng_Per_Dsg_Unt_2019,Avg_Spndng_Per_Clm_2019,Avg_Spndng_Per_Bene_2019,Outlier_Flag_2019,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Tot_Benes_2020,Avg_Spndng_Per_Dsg_Unt_2020,Avg_Spndng_Per_Clm_2020,Avg_Spndng_Per_Bene_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Tot_Benes_2021,Avg_Spndng_Per_Dsg_Unt_2021,Avg_Spndng_Per_Clm_2021,Avg_Spndng_Per_Bene_2021,Outlier_Flag_2021,Tot_Spndng_2022,Tot_Dsg_Unts_2022,Tot_Clms_2022,Tot_Benes_2022,Avg_Spndng_Per_Dsg_Unt_2022,Avg_Spndng_Per_Clm_2022,Avg_Spndng_Per_Bene_2022,Outlier_Flag_2022,Tot_Spndng_2023,Tot_Dsg_Unts_2023,Tot_Clms_2023,Tot_Benes_2023,Avg_Spndng_Per_Dsg_Unt_2023,Avg_Spndng_Per_Clm_2023,Avg_Spndng_Per_Bene_2023,Outlier_Flag_2023,Avg_DY23_ASP_Price,Chg_Avg_Spndng_Per_Dsg_Unt_22_23,CAGR_Avg_Spnd_Per_Dsg_Unt_19_23
90675,Rabies vaccine for injection into muscle,Imovax Rabies Vaccine*,"Rabies Vacc, Human Diploid/PF*",3909892.08,14357,13425,4913,272.33350143,291.23963352,795.82578465,0,3457087.5,12608,11787,4153,274.19792989,293.29664037,832.43137491,0,3885925.58,12484,11615,4089,311.27247517,334.56096255,950.33640988,0,4466167.02,14765,13906,4889,302.4833742,321.16834604,913.51340151,0,5634353.37,17131,16109,5657,328.8981011,349.76431622,995.99670674,0,338.99475,0.0873262108,0.0483108338
90677,"Pneumococcal conjugate vaccine, 20 valent (pcv20), for intramuscular use",Prevnar 20,Pneumoc 20-Val Conj-Dip Crm/PF,,,,,,,,,,,,,,,,,314629.93,1217,1213,1209,258.52911257,259.38164056,260.23980976,0,340356341.09,1258415.5,1258424,1252600,270.46419969,270.46237285,271.71989549,0,573754810,2098732.5,2098703,2084021,273.3815815,273.38542424,275.311434,0,287.427175,0.0107865729,0.0283238252
90682,"Influenza vaccine, quadrivalent derived from recombinant dna",Flublok Quad 2017-2018*,Flu Vac Qv 2017(18yr Up)rcm/PF*,43455961.68,833137,823119,818548,52.159442781,52.794263867,53.08908174,0,44068920.77,754077,754089,745923,58.440876422,58.439946438,59.079718375,0,22034217.93,358628,358626,356294,61.440316791,61.440659434,61.842798167,0,21300829.84,333028,333024,328452,63.961077867,63.961846113,64.852184916,0,11191332.75,168882,168827,167649,66.267173233,66.288761572,66.75454521,0,70.8065,0.036054667,0.0616744736
90686,"Influenza vaccine, quadrivalent, preservative free, 0.5 ml dosage",Afluria Quad 2017-2018 (90686)*,Flu Vacc Quad 2017(5 Yr Up)/PF*,40378116.348,2176935,2176713,2143150,18.548149737,18.550041438,18.840546088,0,36238926.458,1856296,1856154,1820511,19.522170203,19.523663693,19.905909087,0,26785304.37,1286984,1286884,1272306,20.812461048,20.814078324,21.05256469,0,21996384.57,1041109.5,1041018,1022235,21.127830041,21.129687066,21.517933322,0,17571019.32,916476,803567,791124,19.172372566,21.866277884,22.210196278,1,21.726,-0.092553635,0.0083094016
90687,"Influenza vaccine, quadrivalent, 0.25 ml dosage",Afluria Quad 2019-2020*,Flu Vacc QS 2019-20 (6 Mos Up)*,68140.75,2598,2598,2594,26.228156274,26.228156274,26.268600617,1,28895.27,1391,1388,1385,20.77301941,20.817917867,20.86301083,1,12164.48,980,980,977,12.412734694,12.412734694,12.450849539,1,17969.21,1322,1321,1319,13.592443268,13.602732778,13.623358605,1,34282.47,702,702,701,48.83542735,48.83542735,48.905092725,1,10.2905,2.5928365775,0.168131694
90688,"Influenza vaccine, quadrivalent, 0.5 ml dosage",Afluria Quad 2017-2018 (90688)*,Flu Vacc Quad 2017-18(5 Yr Up)*,13587184.97,764452,754303,747555,17.773758156,18.012900612,18.175498753,0,10001226.02,478399.5,478500,472994,20.905594634,20.901203804,21.144509275,0,7178617.05,339008,338982,336879,21.175361791,21.176985946,21.309185346,0,5592710.47,255294,255272,252363,21.906940508,21.908828504,22.161372586,0,4605581.45,199108,199086,197137,23.13107183,23.13362793,23.362339135,1,20.581,0.0558786984,0.0680808356
90694,"Influenza vaccine, quadrivalent inactivated, 0.5 ml dosage",Fluad Quad 2020-2021*,Flu Vacc QS2020(65up)/Mf59c/PF*,,,,,,,,,255039020.73,4386116.5,4386133,4384684,58.146887054,58.146668314,58.165883957,0,269257212.64,4248367,4248353,4239703,63.378990713,63.379199572,63.508508176,0,288658006.29,4269239.5,4269198,4232563,67.613448786,67.614106043,68.199340752,0,385519687.84,5262097,5262074,5233085,73.263508415,73.263828643,73.669678181,0,73.10125,0.0835641389,0.0800745867
90714,Diphtheria and tetanus vaccine (7 years or older),Tdvax*,"Tetanus, Diphtheria Tox,adult*",1835695.71,79428,79428,79281,23.111443194,23.111443194,23.154295607,0,1706146.94,65798.5,65799,65700,25.929875909,25.92967887,25.968750989,0,1592124.46,61078.5,61078,60985,26.066855931,26.067069321,26.106820694,0,1654307.23,59414,59412,59316,27.843727573,27.844664883,27.88973009,0,1501910.56,52146,52145,52064,28.802028152,28.802580497,28.847390904,0,29.18425,0.034417108,0.056571766
90715,"Diphtheria, tetanus, and acellular pertussis vaccine (7 years or older)",Adacel TDAP*,"Diph,pertuss(Acell),tet Vac/PF*",2244211.72,70331,70330,70201,31.909282109,31.909735817,31.96837253,0,1969587.81,59079,59077,58981,33.338204946,33.339333582,33.393598108,0,2045912.92,59201,59198,59128,34.558756102,34.56050745,34.601422676,0,2338103.27,64603,64603,64521,36.191868334,36.191868334,36.237864726,0,2644363.48,70521,70518,70418,37.497532366,37.499127599,37.552379789,0,38.13575,0.036076171,0.0411694433
90732,"Pneumococcal vaccine, 23-valent",Pneumovax 23,Pneumococcal 23-Val P-Sac Vac,197954153.18,1890761,1890564,1875660,104.69549201,104.70640146,105.53839884,0,221003653.27,1956348.5,1956181,1944760,112.96742542,112.97709837,113.64057944,0,142689613.9,1204786,1204705,1200530,118.43565073,118.44361391,118.85551706,0,92528579.03,743591.5,743538,740932,124.43469167,124.44364515,124.88133733,0,32491183.29,269452.5,259410,258434,120.58222986,125.25031144,125.72333087,0,133.472075,-0.030959709,0.0359500892
90739,"Hepatitis b vaccine (hepb), cpg-adjuvanted, adult dosage, 2 dose or 4 dose schedule, for intramuscular use",Heplisav-B,Hepatitis B Vaccine/CPG1018/PF,1190977.02,9379,9350,6511,126.98336923,127.37722139,182.91768085,0,1297881.09,9823,9810,6899,132.12675252,132.30184404,188.12597333,0,6630528.69,46788,46486,25134,141.71430046,142.6349587,263.80714132,0,14638878.45,103460.5,103086,46695,141.49243866,142.00646499,313.49991327,0,13053732.13,88287,87972,45195,147.85565406,148.38507855,288.83133378,0,156.18,0.0449721233,0.0387780705
90740,"Hepatitis b vaccine, dialysis or immunosuppressed patient dosage",Engerix-B Adult (90740)*,Hepatitis B Virus Vaccine/PF*,15355698.75,117862,116464,49458,130.28540793,131.8493161,310.47957358,0,14210395.38,103381,102684,44414,137.45654791,138.38957754,319.9530639,0,6393447.88,45446,45015,25134,140.68230163,142.02927646,254.37446805,0,794906.13,5380,5226,3106,147.75206877,152.1060333,255.92599163,0,706513.4,4512,4438,2443,156.58541667,159.19634971,289.19909947,0,150.675125,0.0597849354,0.0470414718
90743,"Hepatitis b vaccine, adolescent dosage",Engerix-B Pediatric-Adolescent (90743)*,Hepatitis B Virus Vaccine/PF*,8777.96,155,155,138,56.632,56.632,63.608405797,1,4923.02,92,92,83,53.511086957,53.511086957,59.313493976,0,1862.05,43,43,38,43.303488372,43.303488372,49.001315789,1,2358.81,47,47,46,50.187446809,50.187446809,51.278478261,1,5194.49,96,96,90,54.109270833,54.109270833,57.716555556,1,73.84715,0.0781435254,-0.01132752
90744,"Hepatitis b vaccine, pediatric or adolescent dosage (3 dose schedule)",Engerix-B Pediatric-Adolescent (90744)*,Hepatitis B Virus Vaccine/PF*,54560.1,1293,820,640,42.196519722,66.536707317,85.25015625,1,26146.75,484,469,371,54.022210744,55.75,70.476415094,1,20949.69,390,382,310,53.717153846,54.842120419,67.579645161,1,17937.69,363,356,294,49.415123967,50.386769663,61.01255102,0,16684.47,337,335,285,49.508813056,49.80438806,58.542,1,30.18265,0.0018959598,0.0407621041
90746,"Hepatitis b vaccine, adult dosage (3 dose schedule)",Engerix-B Adult (90746)*,Hepatitis B Virus Vaccine/PF*,6419208.8,99481,97291,63332,64.526983042,65.979471894,101.35806228,0,4642357.15,67028,65467,44812,69.259968222,70.911408038,103.59629452,0,3457628.3,49492,48509,32607,69.862367655,71.278078295,106.03944858,0,3548913.66,51857,51223,34440,68.436540101,69.283596431,103.04627352,0,3482441.16,50866,50298,33747,68.46304329,69.236175593,103.19261445,0,70.376475,0.0003872666,0.0149127537
90747,"Hepatitis b vaccine, dialysis or immunosuppressed patient dosage (4 dose schedule)",Engerix-B Adult (90747)*,Hepatitis B Virus Vaccine/PF*,14968720.95,114528,112591,52661,130.69922595,132.94775737,284.24680409,0,14192000.08,103619,101913,47647,136.96329901,139.25603289,297.85715953,0,10899188.24,78635,75655,36862,138.60479735,144.06434789,295.67544463,0,8631021.97,62887,60393,29335,137.24652106,142.91427765,294.22266814,0,8324925.12,60892,58264,28262,136.71623727,142.8828285,294.56249098,0,141.5785,-0.003863732,0.0113157488
90756,"Influenza vaccine, quadrivalent derived from cell cultures",Flucelvax Quad 2017-2018 (90756)*,Flu Vac QS 17-18 (4yr Up) CELl*,13545785.8,527556,527548,523460,25.676488942,25.676878313,25.877403813,0,9841143.44,354296,354257,351059,27.776614582,27.779672498,28.032733643,0,9055138.11,287778.5,287769,286298,31.465651916,31.466690679,31.628366632,1,6648419.01,202582,202552,200524,32.818409385,32.823270123,33.155228352,0,5101334.04,134784,134769,133522,37.848216702,37.852429268,38.205943889,1,31.02925,0.1532617641,0.1018626098
90759,"Vaccine for hepatitis b (3 dose schedule) for injection into muscle, 10 mcg dosage",Prehevbrio,"Hepatitis B Virus Vac S,m,l/PF",,,,,,,,,,,,,,,,,,,,,,,,,3520.11,49,49,44,71.838979592,71.838979592,80.0025,0,21624.15,337,337,243,64.166617211,64.166617211,88.988271605,1,73.815,-0.106799434,-0.106799434
91304,"Severe acute respiratory syndrome coronavirus 2 (covid-19) vaccine, recombinant spike protein nanoparticle, saponin-based adjuvant, preservative free, 5 mcg/0.5ml dosage, for intramuscular use","Novavax Covid-19 Vacc,adj(Eua)*","Covid19 Vac,(Novavax)/Adj/PF*",,,,,,,,,,,,,,,,,,,,,,,,,3.26,299,299,257,0.01090301,0.01090301,0.0126848249,0,3726639.33,26241,26241,26112,142.01590374,142.01590374,142.71749885,0,148.2,13024.385036,13024.385036
91318,Sarscov2 vac 3mcg trs-suc im,PFizer Covid 2023-24(6m-4y)eua,Covid Vac 23-24(6mo-4y)raxt/PF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93031,1560,1551,1212,59.63525641,59.981302386,76.758250825,0,65.55,,
91319,Sarscv2 vac 10mcg trs-suc im,PFizer Covid 2023-24(5-11y)eua,Covid Vac 23-24 (5-11y)raxt/PF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92328.74,1119,1118,1116,82.510044683,82.583846154,82.731845878,0,87.78,,
91320,Sarscv2 vac 30mcg trs-suc im,Comirnaty 2023-2024,Covid Vac 23-24(12up)(Raxt)/PF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439648107.11,3483633,3483473,3477245,126.20391043,126.20970712,126.43575794,0,131.1,,
91321,Sarscov2 vac 25 mcg/.25ml im,Moderna Covid 23-24(6m-11y)eua,Covid Vac 23-24(6m-11y)andu/PF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439032.51,3297,3297,3292,133.16121019,133.16121019,133.3634599,0,145.92,,
91322,Sarscov2 vac 50 mcg/0.5ml im,Spikevax 2023-2024,Covid Vac 23-24(12up)(Andu)/PF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509003634.92,3845043.5,3624074,3617850,132.37916162,140.45067372,140.69229927,0,145.92,,
A9575,"Injection, gadoterate meglumine, 0.1 ml",Clariscan*,Gadoterate Meglumine*,6362964.96,26694924.7,197515,176986,0.238358603,32.215097385,35.951798221,0,5336992.31,29603383.9,206217,182668,0.1802831841,25.880467226,29.216897924,0,6103025.84,37660878.6,260990,230542,0.1620521365,23.38413671,26.472511907,0,5984473.98,41755234.7,294115,261463,0.143322724,20.347394659,22.888416258,0,6896401.97,49421826.6,331147,293436,0.1395416245,20.825802348,23.502235479,0,0.14225,-0.026381717,-0.125281653
A9576,"Injection, gadoteridol, (prohance multipack), per ml",Prohance Multipack,Gadoteridol,329497.27,230400,16092,14615,1.4301096788,20.475843276,22.545143346,0,328533.48,229576.8,16083,14789,1.4310395476,20.42737549,22.214719048,0,373358.44,259189.4,18140,16586,1.440484989,20.582052922,22.510457012,0,405188.61,284381.5,20143,18389,1.4248065011,20.115603932,22.034292784,0,435798.6,310339,21827,19839,1.4042663023,19.966032895,21.966762438,0,1.42775,-0.014416132,-0.004548668
A9577,"Injection, gadobenate dimeglumine (multihance), per ml",Multihance,Gadobenate Dimeglumine,1613109.32,838575.5,62739,56940,1.9236303946,25.711428617,28.329984545,0,1189229.93,647424.5,49104,44577,1.836862723,24.218595837,26.678105974,0,1194925.12,659885,49926,45344,1.8108081257,23.933924608,26.352441778,0,1053635.33,582440.8,42383,38462,1.8089998675,24.859857254,27.39418985,0,887558.98,505987,36410,33120,1.7541141966,24.376791541,26.798278382,0,1.82725,-0.03034034,-0.02279865
A9578,"Injection, gadobenate dimeglumine (multihance multipack), per ml",Multihance Multipack,Gadobenate Dimeglumine,143137.96,73676,5288,4768,1.9428030838,27.068449319,30.020545302,0,95669.45,53107,3774,3372,1.8014470785,25.349615792,28.371723013,0,107242.26,59462,4315,3815,1.8035427668,24.853362688,28.110684142,0,98681.96,55834,4389,3948,1.7674169861,22.483928002,24.995430598,0,135341,75301.5,5681,5094,1.7973214345,23.823446576,26.568708284,0,1.8255,0.0169198603,-0.019270492
A9579,"Injection, gadolinium-based magnetic resonance contrast agent, not otherwise specified (nos), per ml",Magnevist*,Gadopentetate Dimeglumine*,1906414.64,1201016.4,79224,72324,1.5873343944,24.063599919,26.359363973,0,1440140.22,953183.4,60961,53933,1.5108742137,23.623959909,26.702394082,0,1464069.64,952748,60941,54418,1.5366808852,24.024378333,26.904142747,0,1313795.36,852292.9,54382,49029,1.5414834032,24.158643669,26.796291175,0,1193540.42,778919.9,52447,47221,1.5323018708,22.757077049,25.275627793,0,1.5655,-0.005956297,-0.008782465
A9581,"Injection, gadoxetate disodium, 1 ml",Eovist,Gadoxetate Disodium,1105363.99,78385,8007,6350,14.101728519,138.04970526,174.07306929,0,998811.68,70522.6,7255,5723,14.163001364,137.67218194,174.52589201,0,1117690.95,78478.8,8032,6385,14.241947507,139.15474975,175.04948316,0,1152164.77,81051.4,8327,6618,14.215235887,138.36492975,174.09561348,0,1199615.49,85004.2,8683,6881,14.112426092,138.15679949,174.33737683,0,14.735,-0.007232366,0.0001895961
A9585,"Injection, gadobutrol, 0.1 ml",Gadavist,Gadobutrol,6877394.28,18994758.2,245137,214410,0.3620680088,28.05530899,32.075902616,0,6005366.9,16649728,213541,185764,0.360688589,28.122781574,32.32793706,0,6792125.14,18823993.6,236245,203483,0.3608227502,28.750344515,33.379324759,0,6535732.65,19708801.3,247507,213514,0.3316149242,26.406253763,30.610323679,0,6720565.02,20378279.2,254770,218160,0.3297906047,26.378949719,30.805670242,0,0.33525,-0.005501319,-0.023073183
A9589,"Instillation, hexaminolevulinate hydrochloride, 100 mg",Cysview,Hexaminolevulinate HCL,160656.95,144,144,103,1115.6732639,1115.6732639,1559.7762136,0,235935.1,202,202,138,1167.9955446,1167.9955446,1709.6746377,0,390550.39,326,326,254,1198.0073313,1198.0073313,1537.5999606,0,814140.58,677,677,485,1202.5710192,1202.5710192,1678.6403711,0,551506.1,452,452,340,1220.1462389,1220.1462389,1622.0767647,0,1246.28425,0.0146147042,0.0226304377
J0121,"Injection, omadacycline, 1 mg",Nuzyra,Omadacycline Tosylate,183969.97,38418,359,42,4.7886399604,512.45116992,4380.237381,1,1069624.38,330665,2619,192,3.2347674535,408.40946163,5570.9603125,0,1621500.85,493980,4198,262,3.2825232803,386.25556217,6188.934542,0,1692372.93,499363,3779,309,3.3890635269,447.83618153,5476.9350485,0,2388812.48,665614,5368,376,3.5888855703,445.00977645,6353.2246809,0,3.64775,0.0589608433,-0.069563248
J0122,"Injection, eravacycline, 1 mg",Xerava,Eravacycline Di-Hydrochloride,30334.39,20959,185,19,1.4473204828,163.96967568,1596.5468421,0,117915.49,117378,526,56,1.0045791375,224.17393536,2105.63375,0,83663.28,82406,477,41,1.0152571415,175.39471698,2040.5678049,0,176422.6,147596,851,61,1.1953074609,207.31210341,2892.1737705,0,108176.55,99924,661,46,1.0825882671,163.65590015,2351.6641304,0,1.094,-0.094301422,-0.070017766
J0129,"Injection, abatacept, 10 mg (code may be used for medicare when drug administered under the direct supervision of a physician, not for use when drug is self administered)",Orencia*,Abatacept*,920283164.38,18335138,241967,29035,50.192322762,3803.3416308,31695.648851,0,1023005571.9,19061499,251059,29767,53.668684288,4074.7615974,34367.103567,0,988943741.63,20110414.6,265060,31429,49.175701312,3731.0184171,31465.962698,0,903326016.59,20878083.6,276427,31922,43.266711347,3267.8646319,28297.914184,0,902527109.82,21382189,283648,32541,42.209294372,3181.8560674,27735.076052,0,43.0575,-0.024439504,-0.042381121
J0131,"Injection, acetaminophen, not otherwise specified,10 mg",Acetaminophen (J0131),Acetaminophen,25041.87,41371,698,460,0.6053000894,35.876604585,54.438847826,0,30502.71,45651,763,345,0.6681717816,39.97733945,88.413652174,0,16135.58,28484,529,386,0.5664787249,30.502041588,41.802020725,0,15612.39,27177,498,371,0.5744706921,31.350180723,42.081913747,0,11298.71,91575,1571,905,0.1233820366,7.1920496499,12.484762431,0,0.0895,-0.785224837,-0.328075775
J0132,"Injection, acetylcysteine, 100 mg",Acetadote*,Acetylcysteine*,2285.53,1838,912,194,1.2434874864,2.5060635965,11.781082474,0,332.86,324,265,63,1.027345679,1.2560754717,5.2834920635,0,121.41,133,104,36,0.9128571429,1.1674038462,3.3725,0,280.88,376,201,52,0.7470212766,1.3974129353,5.4015384615,0,395.68,525,283,92,0.7536761905,1.3981625442,4.3008695652,0,0.79575,0.0089086002,-0.117660252
J0133,"Injection, acyclovir, 5 mg",Acyclovir Sodium,Acyclovir Sodium,28800.09,662701,447,175,0.0434586488,64.429731544,164.57194286,0,46564.18,747490,554,201,0.0622940508,84.050866426,231.66258706,0,29577.72,767645,615,202,0.0385304666,48.093853659,146.42435644,0,29190.62,759898,509,158,0.0384138661,57.348958743,184.75075949,0,29564.59,637958,429,148,0.0463425335,68.915128205,199.76074324,0,0.0469949244,0.2064011843,0.0161922734
J0134,"Injection, acetaminophen (fresenius kabi) not therapeutically equivalent to j0131, 10 mg",Acetaminophen (J0134),Acetaminophen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538.77,5500,55,,0.0979581818,9.7958181818,,0,0.09196329,,
J0153,"Injection, adenosine, 1 mg (not to be used to report any adenosine phosphate compounds)",Adenocard*,Adenosine*,1393388.28,1935502,38042,37694,0.7199105348,36.627629462,36.965784475,0,1003707.87,1635799.4,32984,32638,0.6135886038,30.430144009,30.752738219,0,959172.04,1656064.4,33660,33410,0.5791876451,28.495901367,28.709130201,0,702368.46,1482584.4,31458,31297,0.4737460208,22.327181003,22.442037895,0,549907.56,1043138.2,22387,22231,0.5271665442,24.563700362,24.736069453,0,0.522,0.1127619464,-0.074945483
J0171,"Injection, adrenalin, epinephrine, 0.1 mg",Adrenalin*,Epinephrine*,13039.77,10544.5,4687,3207,1.2366418512,2.7821143589,4.0660336763,0,13826.05,7460.5,2759,2252,1.8532336975,5.0112540776,6.1394538188,1,9132.66,6821.1,2643,2283,1.3388837578,3.4554143019,4.0002890933,0,11648.4,6940.8,2621,2197,1.6782503458,4.4442579168,5.3019572144,0,10136.74,6840.5,2588,2184,1.4818712082,3.9168238022,4.6413644689,0,0.74425,-0.117014209,0.0462648376
J0172,"Injection, aducanumab-avwa, 2 mg",Aduhelm,Aducanumab-Avwa,,,,,,,,,,,,,,,,,,,,,,,,,603241.13,93920,476,185,6.4229251491,1267.3132983,3260.7628649,0,71670.29,28651,111,36,2.5014934906,645.67828829,1990.8413889,0,5.978,-0.610536721,-0.610536721
J0174,"Injection, lecanemab-irmb, 1 mg",Leqembi,Lecanemab-Irmb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4243344.28,3237132,4161,961,1.3108344918,1019.789541,4415.5507596,0,1.35,,
J0178,"Injection, aflibercept, 1 mg",Eylea,Aflibercept,2911695143,3123794,1391408,268386,932.10216263,2092.6249835,10848.908449,0,3013346116.4,3269515,1435471,284534,921.64927105,2099.2037571,10590.4606,0,3415890772,3758278,1635603,309699,908.89784417,2088.4595908,11029.711985,0,3541909703.7,3933700.1,1698624,338615,900.40155926,2085.1640526,10459.990561,0,3148337300.8,3626517.1,1561204,339144,868.14351456,2016.6085283,9283.18738,0,883.94725,-0.035826287,-0.017614367
